baitChr	baitStart	baitEnd	baitID	baitName	oeChr	oeStart	oeEnd	oeID	oeName	dist	cellA	cellB
19	290159	302184	330829	ENST00000327790,ENST00000269812,ENST00000434325,ENST00000633125,ENST00000591572	19	343893	369651	330837	ENST00000264819,ENST00000635755,ENST00000586994,ENST00000587966	60601	6.07271915708025	3.02827203943408
19	290159	302184	330829	ENST00000327790,ENST00000269812,ENST00000434325,ENST00000633125,ENST00000591572	19	370987	379828	330839	ENST00000530711,ENST00000342640,ENST00000346878,ENST00000528213	79236	7.00449852810996	3.12215435057183
19	290159	302184	330829	ENST00000327790,ENST00000269812,ENST00000434325,ENST00000633125,ENST00000591572	19	402130	410516	330842	ENST00000332235	110152	5.60069050195318	7.39373792332559
19	370987	379828	330839	ENST00000530711,ENST00000342640,ENST00000346878,ENST00000528213	19	450586	456228	330846	.	78000	2.35604333268566	5.50123954289726
19	530387	539467	330854	ENST00000215574,ENST00000586788,ENST00000586283,ENST00000607527,ENST00000606065,ENST00000606400	19	343893	369651	330837	ENST00000264819,ENST00000635755,ENST00000586994,ENST00000587966	-178155	7.82978671631066	4.5380757209163
19	530387	539467	330854	ENST00000215574,ENST00000586788,ENST00000586283,ENST00000607527,ENST00000606065,ENST00000606400	19	506618	515156	330850	ENST00000359315,ENST00000588278,ENST00000592413	-24040	11.3970927548507	11.4651400309511
19	530387	539467	330854	ENST00000215574,ENST00000586788,ENST00000586283,ENST00000607527,ENST00000606065,ENST00000606400	19	568070	575090	330859	ENST00000545507,ENST00000346916,ENST00000679472,ENST00000680552,ENST00000680065,ENST00000613627,ENST00000573216,ENST00000576925,ENST00000572899,ENST00000590218,ENST00000333511,ENST00000353555,ENST00000680326,ENST00000618006,ENST00000614867,ENST00000618112,ENST00000573784,ENST00000574970,ENST00000589457,ENST00000588908,ENST00000590292,ENST00000588290	36653	12.6963854389139	10.8370851967584
19	530387	539467	330854	ENST00000215574,ENST00000586788,ENST00000586283,ENST00000607527,ENST00000606065,ENST00000606400	19	628591	638625	330867	ENST00000588649,ENST00000590573,ENST00000592863,ENST00000564240	98681	13.09542419673	11.7519358779589
19	530387	539467	330854	ENST00000215574,ENST00000586788,ENST00000586283,ENST00000607527,ENST00000606065,ENST00000606400	19	638626	658526	330868	ENST00000591390,ENST00000586042,ENST00000215530,ENST00000586749	113649	7.88268040897361	2.44021580228981
19	568070	575090	330859	ENST00000545507,ENST00000346916,ENST00000679472,ENST00000680552,ENST00000680065,ENST00000613627,ENST00000573216,ENST00000576925,ENST00000572899,ENST00000590218,ENST00000333511,ENST00000353555,ENST00000680326,ENST00000618006,ENST00000614867,ENST00000618112,ENST00000573784,ENST00000574970,ENST00000589457,ENST00000588908,ENST00000590292,ENST00000588290	19	624023	628590	330866	.	54727	5.08562323349237	4.178108887529
19	949495	986106	330885	ENST00000587001,ENST00000586317,ENST00000590397,ENST00000585809,ENST00000591985,ENST00000251289,ENST00000607440,ENST00000591997,ENST00000585733,ENST00000590749,ENST00000613285	19	839471	862771	330877	ENST00000234347,ENST00000544537,ENST00000590230,ENST00000263621,ENST00000592860,ENST00000327726	-116679	6.31614076528005	0
19	1017629	1022815	330887	ENST00000593068,ENST00000333175,ENST00000586704,ENST00000356663,ENST00000384627	19	1065924	1076134	330890	ENST00000587186,ENST00000313093,ENST00000587602,ENST00000591293,ENST00000590214,ENST00000586866,ENST00000543365,ENST00000592335,ENST00000586033	50807	16.8552707578092	10.6389655534692
19	1017629	1022815	330887	ENST00000593068,ENST00000333175,ENST00000586704,ENST00000356663,ENST00000384627	19	1232135	1263473	330902	ENST00000588030,ENST00000588411,ENST00000592467,ENST00000591622,ENST00000592051,ENST00000589161,ENST00000395633,ENST00000215375,ENST00000592624,ENST00000590265,ENST00000588538,ENST00000591660,ENST00000591249,ENST00000589478,ENST00000614837,ENST00000590083,ENST00000648750,ENST00000650044,ENST00000382477,ENST00000591127,ENST00000589260,ENST00000215376,ENST00000586757,ENST00000300952,ENST00000682408,ENST00000591446,ENST00000591302,ENST00000590136,ENST00000592843,ENST00000681994	227582	6.02160959583613	8.97726713676078
19	1017629	1022815	330887	ENST00000593068,ENST00000333175,ENST00000586704,ENST00000356663,ENST00000384627	19	1650906	1661305	330948	ENST00000344749,ENST00000262965,ENST00000588136,ENST00000453954,ENST00000395423,ENST00000586318	635884	5.05072955330507	0.26323205466081
19	1022816	1036370	330888	ENST00000562015,ENST00000263097,ENST00000348419,ENST00000565096,ENST00000569352,ENST00000562958,ENST00000568865,ENST00000606983,ENST00000562075,ENST00000607102,ENST00000566695	19	1065924	1076134	330890	ENST00000587186,ENST00000313093,ENST00000587602,ENST00000591293,ENST00000590214,ENST00000586866,ENST00000543365,ENST00000592335,ENST00000586033	41436	1.64388550044182	15.1006064829612
